[2025-03-26 01:58:08,792] [INFO] django.utils.autoreload: Watching for file changes with StatReloader
[2025-03-26 01:58:59,469] [INFO] django.utils.autoreload: F:\MyProject\backend\django_backend\settings.py changed, reloading.
[2025-03-26 01:59:00,676] [INFO] django.utils.autoreload: Watching for file changes with StatReloader
[2025-03-26 01:59:36,734] [INFO] django.server: "POST /api/images/upload/ HTTP/1.1" 201 441
[2025-03-26 01:59:36,739] [INFO] django.server: "OPTIONS /api/images/22/file/ HTTP/1.1" 200 0
[2025-03-26 01:59:36,856] [INFO] django.server: "GET /api/images/22/file/ HTTP/1.1" 200 27588
[2025-03-26 02:00:14,087] [WARNING] django.request: Bad Request: /api/images/upload/
[2025-03-26 02:00:14,089] [WARNING] django.server: "POST /api/images/upload/ HTTP/1.1" 400 127
[2025-03-26 02:00:42,375] [WARNING] django.request: Bad Request: /api/images/upload/
[2025-03-26 02:00:42,375] [WARNING] django.server: "POST /api/images/upload/ HTTP/1.1" 400 142
[2025-03-26 02:01:00,588] [INFO] django.server: "GET /api/images/21/file/ HTTP/1.1" 200 25949
[2025-03-26 02:01:02,949] [INFO] django.server: "GET /api/images/20/file/ HTTP/1.1" 200 926776
[2025-03-26 02:01:10,423] [INFO] django.server: "GET /api/images/admin/images/ HTTP/1.1" 200 4447
[2025-03-26 02:01:10,533] [INFO] django.server: "GET /api/images/22/file/ HTTP/1.1" 200 27588
[2025-03-26 02:01:10,968] [INFO] django.server: "GET /api/images/21/file/ HTTP/1.1" 200 25949
[2025-03-26 02:01:12,138] [INFO] django.server: "GET /api/images/19/file/ HTTP/1.1" 200 2376929
[2025-03-26 02:01:16,632] [INFO] django.server: "GET /api/images/20/file/ HTTP/1.1" 200 926776
[2025-03-26 02:01:16,674] [INFO] django.server: "GET /api/images/18/file/ HTTP/1.1" 200 3140244
[2025-03-26 02:01:20,847] [INFO] django.server: "GET /api/images/17/file/ HTTP/1.1" 200 2284140
[2025-03-26 02:01:20,850] [INFO] django.server: "GET /api/images/19/file/ HTTP/1.1" 200 2376929
[2025-03-26 02:01:23,587] [INFO] django.server: "GET /api/images/16/file/ HTTP/1.1" 200 709970
[2025-03-26 02:01:23,652] [INFO] django.server: "GET /api/images/18/file/ HTTP/1.1" 200 3140244
[2025-03-26 02:01:23,964] [INFO] django.server: "GET /api/images/15/file/ HTTP/1.1" 200 1432247
[2025-03-26 02:01:24,370] [INFO] django.server: "GET /api/images/14/file/ HTTP/1.1" 200 4765
[2025-03-26 02:01:24,810] [INFO] django.server: "GET /api/images/13/file/ HTTP/1.1" 200 9400
[2025-03-26 02:01:27,585] [INFO] django.server: "GET /api/images/17/file/ HTTP/1.1" 200 2284140
[2025-03-26 02:01:27,722] [INFO] django.server: "GET /api/images/12/file/ HTTP/1.1" 200 1035181
[2025-03-26 02:01:28,374] [INFO] django.server: "GET /api/images/16/file/ HTTP/1.1" 200 709970
[2025-03-26 02:01:29,062] [INFO] django.server: "GET /api/images/15/file/ HTTP/1.1" 200 1432247
[2025-03-26 02:01:29,162] [INFO] django.server: "GET /api/images/14/file/ HTTP/1.1" 200 4765
[2025-03-26 02:01:29,595] [INFO] django.server: "GET /api/images/13/file/ HTTP/1.1" 200 9400
[2025-03-26 02:01:54,686] [INFO] django.server: "POST /api/images/upload/ HTTP/1.1" 201 441
[2025-03-26 02:01:55,007] [INFO] django.server: "OPTIONS /api/images/23/file/ HTTP/1.1" 200 0
[2025-03-26 02:01:55,174] [INFO] django.server: "GET /api/images/23/file/ HTTP/1.1" 200 62273
[2025-03-26 02:02:29,597] [INFO] django.server: "POST /api/images/upload/ HTTP/1.1" 201 441
[2025-03-26 02:02:29,605] [INFO] django.server: "OPTIONS /api/images/24/file/ HTTP/1.1" 200 0
[2025-03-26 02:02:29,807] [INFO] django.server: "GET /api/images/24/file/ HTTP/1.1" 200 98083
[2025-03-27 00:42:54,807] [INFO] django.utils.autoreload: Watching for file changes with StatReloader
[2025-03-27 00:43:14,206] [WARNING] django.request: Not Found: /favicon.ico
[2025-03-27 00:43:14,207] [WARNING] django.server: "GET /favicon.ico HTTP/1.1" 404 2438
[2025-03-27 00:43:14,448] [INFO] django.server: "OPTIONS /api/images/admin/images/ HTTP/1.1" 200 0
[2025-03-27 00:43:14,501] [WARNING] django.request: Unauthorized: /api/images/admin/images/
[2025-03-27 00:43:14,502] [WARNING] django.server: "GET /api/images/admin/images/ HTTP/1.1" 401 183
[2025-03-27 00:43:14,508] [INFO] django.server: "OPTIONS /api/auth/token/refresh/ HTTP/1.1" 200 0
[2025-03-27 00:43:14,512] [INFO] django.server: "POST /api/auth/token/refresh/ HTTP/1.1" 200 218
[2025-03-27 00:43:30,671] [INFO] django.server: "GET /api/images/admin/images/ HTTP/1.1" 200 4446
[2025-03-27 00:43:30,700] [INFO] django.server: "OPTIONS /api/images/24/file/ HTTP/1.1" 200 0
[2025-03-27 00:43:30,959] [INFO] django.server: "GET /api/images/24/file/ HTTP/1.1" 200 98083
[2025-03-27 00:43:30,968] [INFO] django.server: "OPTIONS /api/images/23/file/ HTTP/1.1" 200 0
[2025-03-27 00:43:31,157] [INFO] django.server: "GET /api/images/23/file/ HTTP/1.1" 200 62273
[2025-03-27 00:43:31,486] [INFO] django.server: "OPTIONS /api/images/22/file/ HTTP/1.1" 200 0
[2025-03-27 00:43:31,609] [INFO] django.server: "GET /api/images/22/file/ HTTP/1.1" 200 27588
[2025-03-27 00:43:31,752] [INFO] django.server: "OPTIONS /api/images/21/file/ HTTP/1.1" 200 0
[2025-03-27 00:43:31,876] [INFO] django.server: "GET /api/images/21/file/ HTTP/1.1" 200 25949
[2025-03-27 00:43:31,932] [INFO] django.server: "OPTIONS /api/images/20/file/ HTTP/1.1" 200 0
[2025-03-27 00:43:36,850] [INFO] django.server: "GET /api/images/20/file/ HTTP/1.1" 200 926776
[2025-03-27 00:43:36,866] [INFO] django.server: "OPTIONS /api/images/19/file/ HTTP/1.1" 200 0
[2025-03-27 00:43:38,919] [INFO] django.server: "GET /api/images/19/file/ HTTP/1.1" 200 2376929
[2025-03-27 00:43:39,247] [INFO] django.server: "OPTIONS /api/images/18/file/ HTTP/1.1" 200 0
[2025-03-27 00:43:43,617] [INFO] django.server: "GET /api/images/18/file/ HTTP/1.1" 200 3140244
[2025-03-27 00:43:43,626] [INFO] django.server: "OPTIONS /api/images/17/file/ HTTP/1.1" 200 0
[2025-03-27 00:43:49,098] [INFO] django.server: "GET /api/images/17/file/ HTTP/1.1" 200 2284140
[2025-03-27 00:43:49,419] [INFO] django.server: "OPTIONS /api/images/16/file/ HTTP/1.1" 200 0
[2025-03-27 00:43:50,091] [INFO] django.server: "GET /api/images/16/file/ HTTP/1.1" 200 709970
[2025-03-27 00:43:50,097] [INFO] django.server: "OPTIONS /api/images/15/file/ HTTP/1.1" 200 0
[2025-03-27 00:43:51,469] [INFO] django.server: "GET /api/images/15/file/ HTTP/1.1" 200 1432247
[2025-03-27 00:48:06,376] [INFO] django.server: "GET /api/images/24/file/ HTTP/1.1" 200 98083
[2025-03-27 00:48:06,589] [INFO] django.server: "GET /api/images/23/file/ HTTP/1.1" 200 62273
[2025-03-27 00:48:06,801] [INFO] django.server: "GET /api/images/22/file/ HTTP/1.1" 200 27588
[2025-03-27 00:48:07,014] [INFO] django.server: "GET /api/images/21/file/ HTTP/1.1" 200 25949
[2025-03-27 00:48:23,144] [INFO] django.server: "GET /api/images/admin/images/ HTTP/1.1" 200 4446
[2025-03-27 00:48:23,173] [INFO] django.server: "GET /api/images/20/file/ HTTP/1.1" 200 926776
[2025-03-27 00:48:23,374] [INFO] django.server: "GET /api/images/24/file/ HTTP/1.1" 200 98083
[2025-03-27 00:48:27,294] [INFO] django.server: "GET /api/images/23/file/ HTTP/1.1" 200 62273
[2025-03-27 00:48:27,352] [INFO] django.server: "GET /api/images/19/file/ HTTP/1.1" 200 2376929
[2025-03-27 00:48:27,715] [INFO] django.server: "GET /api/images/22/file/ HTTP/1.1" 200 27588
[2025-03-27 00:48:28,246] [INFO] django.server: "GET /api/images/21/file/ HTTP/1.1" 200 25949
[2025-03-27 00:48:31,590] [INFO] django.server: "GET /api/images/18/file/ HTTP/1.1" 200 3140244
[2025-03-27 00:48:39,525] [INFO] django.server: "GET /api/images/20/file/ HTTP/1.1" 200 926776
[2025-03-27 00:48:39,566] [INFO] django.server: "GET /api/images/17/file/ HTTP/1.1" 200 2284140
[2025-03-27 00:48:43,298] [INFO] django.server: "GET /api/images/16/file/ HTTP/1.1" 200 709970
[2025-03-27 00:48:43,351] [INFO] django.server: "GET /api/images/19/file/ HTTP/1.1" 200 2376929
[2025-03-27 00:48:44,109] [INFO] django.server: "GET /api/images/15/file/ HTTP/1.1" 200 1432247
[2025-03-27 00:48:47,738] [INFO] django.server: "GET /api/images/18/file/ HTTP/1.1" 200 3140244
[2025-03-27 00:48:54,290] [INFO] django.server: "GET /api/images/17/file/ HTTP/1.1" 200 2284140
[2025-03-27 00:48:54,984] [INFO] django.server: "GET /api/images/16/file/ HTTP/1.1" 200 709970
[2025-03-27 00:48:56,500] [INFO] django.server: "GET /api/images/15/file/ HTTP/1.1" 200 1432247
[2025-03-27 01:02:07,742] [INFO] django.server: "GET /api/images/24/file/ HTTP/1.1" 200 98083
[2025-03-27 01:02:07,921] [INFO] django.server: "GET /api/images/23/file/ HTTP/1.1" 200 62273
[2025-03-27 01:02:08,356] [INFO] django.server: "GET /api/images/22/file/ HTTP/1.1" 200 27588
[2025-03-27 01:02:08,785] [INFO] django.server: "GET /api/images/21/file/ HTTP/1.1" 200 25949
[2025-03-27 01:02:24,403] [INFO] django.server: "GET /api/images/admin/images/ HTTP/1.1" 200 4446
[2025-03-27 01:02:24,428] [INFO] django.server: "GET /api/images/20/file/ HTTP/1.1" 200 926776
[2025-03-27 01:02:28,351] [INFO] django.server: "GET /api/images/19/file/ HTTP/1.1" 200 2376929
[2025-03-27 01:02:32,278] [WARNING] django.request: Not Found: /favicon.ico
[2025-03-27 01:02:32,282] [WARNING] django.server: "GET /favicon.ico HTTP/1.1" 404 2438
[2025-03-27 01:02:32,391] [INFO] django.server: "GET /api/images/18/file/ HTTP/1.1" 200 3140244
[2025-03-27 01:02:32,662] [WARNING] django.request: Not Found: /logo192.png
[2025-03-27 01:02:32,664] [WARNING] django.server: "GET /logo192.png HTTP/1.1" 404 2438
[2025-03-27 01:02:32,948] [INFO] django.server: "GET /api/images/24/file/ HTTP/1.1" 200 98083
[2025-03-27 01:02:33,418] [INFO] django.server: "GET /api/images/23/file/ HTTP/1.1" 200 62273
[2025-03-27 01:02:48,867] [INFO] django.server: "GET /api/images/22/file/ HTTP/1.1" 200 27588
[2025-03-27 01:02:49,600] [INFO] django.server: "GET /api/images/admin/images/ HTTP/1.1" 200 4446
